,tweet_id_str,date_time,location,tweet_text
53,1420356254233473025,2021-07-28 12:11:34,"Nairobi, Kenya","Kenya to receive 817,000 doses of Covid-19 vaccines from UK to boost the vaccination program, PM Boris Johnson announces. https://t.co/qHpFluQNma"
54,1420354536028377088,2021-07-28 12:04:44,"Nairobi, Kenya","More hope for Kenya as the U.K promises over 800,000 AstraZeneca COVID-19 vaccines.
 #KenyaUKSummit
https://t.co/amQYAkgFQa https://t.co/UHdeMUrDSt"
55,1420354161175040008,2021-07-28 12:03:15,"Nairobi, Kenya","Check out the research we conducted on #COVID19 vaccine acceptance and hesitancy in #LMICs.

The full paper can be found on @NatureMedicine through the link below. Shoutout to our very own Opeyemi Adeojo and Isaac Obara for working on this.

https://t.co/8Rrdcq85El"
56,1420354128048365572,2021-07-28 12:03:07,"Nairobi, Kenya","AstraZeneca’s Covid-19 vaccine doesn’t raise the risk of a rare blood clotting disorder after a second dose, new research in The Lancet says https://t.co/VqjT3saS5O via @technology"
57,1420351402325520387,2021-07-28 11:52:17,"Kajiado, Kenya","The first batch of the vaccine will arrive in the country by next week to help combat Covid-19
#KenyaUKSummit https://t.co/dd7Y3dg63b"
58,1420350283830468609,2021-07-28 11:47:51,"Nairobi, Kenya","President Samia gets vaccinated against Covid-19 as she launches vaccination drive
https://t.co/2o8Z3NiGdW…accination-drive/ 
@SuluhuSamia @TZMsemajiMkuu @WHO_Tanzania https://t.co/1B5cDko06d"
59,1420350243149778947,2021-07-28 11:47:41,"Nairobi, Kenya","Tanzania President Suluhu receives first Covid-19 jab as she launches vaccination drive
 https://t.co/0lf7i9Lo8H"
60,1420349591392858118,2021-07-28 11:45:06,"Nairobi, Kenya","Tanzanian President Samia Suluhu Rolls Out COVID-19 Vaccination Drive   |  #COVID19 #News 

Read More https://t.co/ClpbPWIzOU"
61,1420348670504062978,2021-07-28 11:41:26,"Nairobi, Kenya","UK to give Kenya more than 800,000 doses of Oxford-AstraZeneca coronavirus vaccine.

#KenyansTakeOnPresUhuru #RailaInMuranga #UKinTheUK #uk #MainaAndKingangi #Covid_19 #coronavirus #Astrazenaca 
https://t.co/KUpu88cWlC"
62,1420346422365413378,2021-07-28 11:32:30,"Nairobi, Kenya",Africa wants to produce a coronavirus vaccine — and Big Pharma’s not happy https://t.co/Tkf9ua7Kaq
63,1420346421052678147,2021-07-28 11:32:30,"Nairobi, Kenya","Breaking: 
Tanzanian President Samia Suluhu has just received her first COVID-19 jab from Johnson &amp; Johnson.

She hopes to open the country for further vaccination campaigns

#riddlernews
#COVAX 
#johnsonandjohnson
#vaccination https://t.co/uJP6WgUSdC"
64,1420345090128629760,2021-07-28 11:27:12,Nairobi Kenya,"Tanzania’s President, Samia Suluhu Hassan, has received her Covid-19 dose of the single-shot Johnson &amp; Johnson vaccine as Tanzania begins a mass vaccination campaign.
https://t.co/ZgnfKxy2xf"
65,1420344565438066690,2021-07-28 11:25:07,"Nairobi, Kenya","The UK will be donating 817,000 COVID-19 vaccines to Kenya to support the country in  its vaccination programme. 👏👏 #KenyaUKRelations @MEsipisu @UKinKenya https://t.co/BvXlDIBC0V"
66,1420343620507471873,2021-07-28 11:21:22,"Nairobi, Kenya","U.K to donate over 800,000 AstraZeneca COVID-19 vaccines to Kenya in the coming days. https://t.co/7K4b68XhqI"
67,1420341846123941888,2021-07-28 11:14:19,"Nairobi, Kenya",Kenyans are going to receive a good number of AstraZeneca vaccine that’s going to be the best solution for covid 19 #KenyaUKSummit https://t.co/GVK54coY2N
68,1420341591722631173,2021-07-28 11:13:18,"Nairobi, Kenya","Delta variant, tight shelf life and communication inconsistencies complicate Kenya’s low COVID-19 vaccine roll-out; read this and more stories in our July-August 2021 Edition here &gt;&gt;&gt; https://t.co/mBXYPbbI4d
@MOH_Kenya @DrPatrickAmoth @DrMercyHealth @KEMRI_Kenya @StateHouseKenya https://t.co/Ee5dxxFmAR"
69,1420340321012129792,2021-07-28 11:08:15,"Nairobi, Kenya","Next week Kenya will receive 4000 dozes of first batch of 8000 dozes of COVID-19 Astrazeneca vaccine from the UK. 
#KenyaUKSummit https://t.co/ExALVOPg7s"
70,1420339190345211908,2021-07-28 11:03:46,"Nairobi, Kenya","Covid 19 coronavirus: Women are claiming 'boobs get bigger' after having Pfizer jab, via @nzherald https://t.co/q1OJyRiTFa"
71,1420339000531984386,2021-07-28 11:03:01,"Nairobi, Kenya","The UK government has given Kenya more than 800k doses of Oxford- AstraZeneca Covid-19 Vaccine. The first 400k doses to be sent next week.
#UKinTheUK https://t.co/GV7CNvhlen"
72,1420338589196505095,2021-07-28 11:01:22,"Nairobi, Kenya🇰🇪","TANZANIAN PRESIDENT Samia Suluhu publicly receives Johnson &amp; Johnson Covid-19 jab, officially launches vaccination in the country."
73,1420338589121011713,2021-07-28 11:01:22,Nairobi,"UK gives Kenya 800,000 doses of AstraZeneca vaccine to be delivered starting next week as Kenya stares at the theirs wave of covid 19
#KenyaUKSummit https://t.co/3eqMdT6IEd"
74,1420338173939494916,2021-07-28 10:59:43,Nairobi ,"TANZANIAN PRESIDENT Samia Suluhu publicly receives Johnson &amp; Johnson Covid-19 jab, officially launches vaccination in the country. https://t.co/igcgzbpJp6"
75,1420338118918606850,2021-07-28 10:59:30,"Nairobi, Kenya","More GOODIES from the the land of the QUEEN, the United Kingdom...
800,000 of OXFORD-ASTRAZENECA covid vaccine.. Half of it, 400k to be sent NEXT WEEK!👍🇰🇪🇬🇧
#KenyaUKSummit https://t.co/KrGiMvP1Vd"
76,1420337272680030209,2021-07-28 10:56:09,"Nairobi, Kenya","The United Kingdom will give Kenya more than 800,000 uses of Oxford AstraZeneca covid-19 vaccine.
#KenyaUKSummit https://t.co/8TYVRF4gbN"
77,1420336916717875200,2021-07-28 10:54:44,"Nairobi, Kenya","Kenya to receive 817,000 doses of Covid-19 vaccines from UK to boost the vaccination program, PM Boris Johnson announces https://t.co/mtyzML0zDF"
78,1420336721586270210,2021-07-28 10:53:57,"Nairobi, Kenya","Kenya to receive 817,000 doses of Covid-19 vaccines from UK to boost the vaccination program, PM Boris Johnson announces. https://t.co/oVRicfT6rI"
79,1420336348695777280,2021-07-28 10:52:28,Kiambu,"In some good heart warming news UK has donated to Kenya 800,000 doses of @ASTRAZENECAUK Covid-19 Vaccine; first consignment of 400,000 doses to arrive in the country next week. #KenyaUKSummit https://t.co/XXdf774PtQ"
80,1420336050795425801,2021-07-28 10:51:17,"Nairobi, Kenya","The UK will be donating 817,000 COVID-19 vaccines to Kenya to support its vaccination programme. These will be shipped to 🇰🇪 in the coming days, and will help save lives. 

#KenyaUKSummit https://t.co/QeDY4UkR5P"
81,1420335735274676224,2021-07-28 10:50:02,"Kajiado, Kenya","The summit has led to kenya getting a 800,000 doses of Covid-19 vaccine and the first batch will strt tickling into the country next week..
#KenyaUKSummit https://t.co/DvPKOn8sgP"
82,1420335689049194501,2021-07-28 10:49:51,"Nairobi, Kenya","BREAKING: The United Kingdom (UK) has given Kenya 800,000 doses of AstraZeneca Covid-19 Vaccine; first consignment of 400,000 doses to arrive in the country next week.

#KenyaUKSummit #UKinTheUK https://t.co/9pK7dA5CWH"
83,1420335534308745217,2021-07-28 10:49:14,"Nairobi, Kenya","#UK Government to donate 817,000 doses of #Covid_19 vaccine to #Kenya; says scientists from both nations to work together in #AstraZeneca vaccine trials. https://t.co/DEv93N34qE"
84,1420335197338406912,2021-07-28 10:47:54,"Nairobi, Kenya","UK Government to donate 817,000 doses of Covid-19 vaccine to Kenya;

The scientists from both nations to work together in AstraZeneca vaccine trials. #KenyaUKSummit https://t.co/hTGmqclMIp"
85,1420334599448801281,2021-07-28 10:45:31,"Nairobi, Kenya","UK Government to donate 817,000 doses of Covid-19 vaccine to Kenya; says scientists from both nations to work together in AstraZeneca vaccine trials. https://t.co/6p2OIdWjae https://t.co/miqo334zCp"
86,1420334369290571780,2021-07-28 10:44:36,"Nairobi, Kenya","UK Government to donate 817,000 doses of Covid-19 vaccine to Kenya; says scientists from both nations to work together in AstraZeneca vaccine trials. https://t.co/MXARNqMN8E"
87,1420333913680105473,2021-07-28 10:42:48,Nairobi,"The #KenyaUKSummit has seen Kenya receive over 800,000 doses of Astrazeneca covid 19 jab. Of this package the first set of 400,000 units arrives in the country next week. https://t.co/Ed9BjP3sHx"
88,1420333807694225410,2021-07-28 10:42:22,"Nairobi, Kenya","Tanzania’s Samia Suluhu has been vaccinated against Covid-19 at State House, Dar es Salaam. The President says she decided to take the jab as a way of leading from the front. Tanzania is currently scaling up the roll out of Covid-19 vaccine program. https://t.co/Jg0Nf9sanS"
89,1420333419372941314,2021-07-28 10:40:50,Nairobi,Israel to become first in world to test Oravax oral COVID-19 vaccine https://t.co/G3iLLplY9M
90,1420332048477302789,2021-07-28 10:35:23,Nairobi Kenya,‘Am I just hallucinating?’: Women reporting unexpected side effect of Pfizer COVID-19 vaccine as breasts and lymph nodes swell   https://t.co/GYfHW3QdLv
91,1420330779960352791,2021-07-28 10:30:21,Juja,"UK to give Kenya more than 800k doses of Oxford- AstraZeneca Covid-19 Vaccine. The first 400k doses to be sent next week.
#KenyaUKSummit https://t.co/uUnOpoAqrL"
92,1420329396976631811,2021-07-28 10:24:51,"Nairobi, Kenya","The UK will be donating 817,000 COVID-19 vaccines to Kenya to support its vaccination programme. These will be shipped to Flag of Kenya in the coming days, and will help save lives. https://t.co/Gwo95G4Jq9"
93,1420328617926664193,2021-07-28 10:21:45,"Kajiado, Kenya","The UK has promised to fight terrorism through a security deal with kenya and also promised to help kenya combat Covid-19 virus by pledging to offer 800,000 doses of a Covid-19 vaccine #KenyaUKSummit https://t.co/rRYm8vM0qz"
94,1420328494408536064,2021-07-28 10:21:16,Eastern Africa,Covid-19 vaccination or negative test required at Stamford Bridge and Kingsmeadow https://t.co/FYn6aJzY0k via @ChelseaFC
95,1420328435260530692,2021-07-28 10:21:02,"Nairobi, Kenya","Great news UK will offer 817,000 COVID-19 vaccine doses to Kenya as part of a delivery of 9 million Oxford-AstraZeneca shots it is providing to help the world tackle the pandemic
#KenyaUKSummit https://t.co/GQ6oE9OtWE"
96,1420327511045689348,2021-07-28 10:17:21,"Migori, Kenya","""TANZANIAN PRESIDENT Samia Suluhu publicly receives Johnson &amp; Johnson Covid-19 jab, officially launches vaccination in the country. https://t.co/2LUkJH7RtV"" #fb"
97,1420326918348578818,2021-07-28 10:15:00,Nairobi,"the pandemic is gearing up for breeding vaccine-resistant ‘supervariants’, a phenomenon that is at risk of fueling an even larger wave of morbidity, hospitalization and, unfortunately, also death, not at least in the vaccinated part of the population. 
https://t.co/olXqeInXrS https://t.co/YdcK7pVDGV"
98,1420326803974115328,2021-07-28 10:14:33,"Nairobi, Kenya","JUST IN:  The UK will be donating 817,000 COVID-19 vaccines to Kenya to support its vaccination programme.

 The vaccines will be shipped to kenya in the coming days, and will help save lives. #KenyaUKSummit https://t.co/LHGPLuV6UX"
99,1420326080154537988,2021-07-28 10:11:40,"Nairobi, Kenya",World Hepatitis Day 2021: Can Hepatitis patients opt for coronavirus vaccination https://t.co/h8V03LgXQW https://t.co/9oV6tcTv7p
100,1420325895978590208,2021-07-28 10:10:56,Nairobi Kenya,"Breaking News.

 United Kingdom gives Kenya  800K doses of AstraZeneca Covid-19 Vaccine. The first consignment of 400,000 doses to arrive in the country next week.
#KenyaUKSummit https://t.co/JDqMt7PUzz"
101,1420325553010262018,2021-07-28 10:09:34,"Nairobi, Kenya","Big news ahead of 🇰🇪 President Kenyatta and 🇬🇧 PM @BorisJohnson meeting later! 

The UK will be donating 817,000 COVID-19 vaccines to Kenya to support its vaccination programme. These will be shipped to 🇰🇪 in the coming days, and will help save lives. 

💉 💉 💉 https://t.co/qGeKyqItEW"
102,1420325407786627079,2021-07-28 10:09:00,Nairobi,"Today the relative viral loads in the Delta variant infections are 1260 times higher than the 19A/19B strains infections COVID-19
https://t.co/Fap07ecWXy

pandemic is gearing up for breeding vaccine-resistant ‘supervariants’ @GVDBossche 
https://t.co/olXqeIFyjq"
103,1420325386534129667,2021-07-28 10:08:55,"Nairobi, Kenya",Tanzania President Mama Samia Hassan Suluhu gets Johnson &amp; Johnson Covid jab as Tanzania rolls out the vaccine campaign. https://t.co/QgOAT1SqGf
104,1420324803236540417,2021-07-28 10:06:36,"Nairobi, Kenya","This inequity of Covid-19 vaccine amongst nations globally has led to the creation of a partial social class which divides nations according to their response to this virus! 
Driven by CAPITALISM and NEOCOLONIALISM!

This is true! 
#VaccineEquity @ONECampaign https://t.co/EyrGL4N6n2"
105,1420324149948338176,2021-07-28 10:04:00,Nairobi,"There can be no doubt that, at this stage, the pandemic is gearing up for breeding vaccine-resistant ‘supervariants’ @GVDBossche 
https://t.co/olXqeIFyjq

28-MAR-2021  we are seeing a sustained acceleration in mutant viruses. COVID-19
https://t.co/A5BSNrWeNe"
106,1420323954200305666,2021-07-28 10:03:13,Nairobi,"UK to give Kenya more than 800k doses of Oxford- AstraZeneca Covid-19 Vaccine. The first 400k doses to be sent next week.

This will boost Kenya’s fight against the virus. GoK is already in the process of importing over 13 million doses of J&amp;J from next month. 
#KenyaUKSummit"
107,1420323632807510018,2021-07-28 10:01:57,"Nairobi, Kenya","Covid-19: Eight-week gap between Pfizer’s first and second vaccine shot boosts immunity – UK study
 https://t.co/F231cNkOCI"
108,1420322336469880834,2021-07-28 09:56:47,Nairobi,"BREAKING: President Uhuru Kenyatta secures 817,000 doses of Oxford-AstraZeneca Covid-19 vaccine in trip to London, UK government  announces. 400,000 units to be delivered next week and the balance within the very shortest time. 
#KenyaUKSummit https://t.co/uaYDrUO5rm"
109,1420321884491579392,2021-07-28 09:55:00,Nairobi,"mass vaccination campaigns should not be conducted during a pandemic of a highly mutable virus, let alone during a pandemic of more infectious variants (unless transmission-blocking vaccines are used!). @GVDBossche 
https://t.co/olXqeIFyjq
https://t.co/p2U0M6WIi9 COVID-19"
110,1420321785980104725,2021-07-28 09:54:36,"Nairobi, KENYA","JUST IN: Uhuru secures 817,000 doses of Oxford-AstraZeneca Covid-19 vaccine in trip to London, UK government  announces. #KenyaUKSummit #KenyaUKRelations https://t.co/jfdQ0GqMoL"
111,1420321520614772736,2021-07-28 09:53:33,"Nairobi, Kenya","#TANZANIA: The president Samia Suluhu Hassan publicly takes Johnson and Johnson #COVID_19jab, and officially launches vaccination in the country. https://t.co/xG0qc2jAVc"
112,1420320626254958598,2021-07-28 09:50:00,Nairobi,"Taken together, mass vaccination conducted on a background of high infectivity rates enables more infectious, increasingly VI-escaping variants to expand in prevalence. in the vaccinated part of the population. @GVDBossche 
https://t.co/olXqeInXrS https://t.co/p2U0M7ejGJ COVID-19"
113,1420319367812685826,2021-07-28 09:45:00,Nairobi,"On the other hand, mass vaccination promotes natural selection of increasingly vaccine immunity (VI)-escaping variants in the vaccinated part of the population. @GVDBossche 
https://t.co/olXqeIFyjq
https://t.co/p2U0M6WIi9 COVID-19"
114,1420318622342426624,2021-07-28 09:42:02,"Nairobi, Kenya.",PRESIDENT Suluhu launches nationwide COVID-19 vaccination campaign in Tanzania with 1mn doses; orders more J&amp;J vaccines. https://t.co/oEiba131Ne
